STT,Từ Vựng (Kanji),Cách Đọc (Hiragana),Hán Việt,Ý Nghĩa Tiếng Việt,English Meaning,Ví Dụ (Example)
493,曲げる,まげる,KHÚC,"(Tha) Uốn cong, bẻ cong","bend, curve",ひざや腰を曲げる。針金を曲げる。
494,外れる,はずれる,NGOẠI,"(Tự) Tuột ra, bung ra, trật (dự đoán)","come off, miss",ボタンが外れる。宝くじが外れた。
495,外す,はずす,NGOẠI,"(Tha) Tháo ra, mở ra, loại trừ","take off, remove",メガネを外す。メンバーから外す。
496,揺れる,ゆれる,DAO,"(Tự) Rung lắc, đu đưa, dao động","shake, sway",地震で地面が大きく揺れた。気持ちが揺れる。
497,揺らす,ゆらす,DAO,"(Tha) Rung lắc, đung đưa","shake, sway",ブランコを揺らして遊ばせた。
498,流れる,ながれる,LƯU,"(Tự) Chảy, trôi dạt, lan truyền","flow, stream, spread",川が流れている。音楽が流れる。うわさが流れる。
499,流す,ながす,LƯU,"(Tha) Xả nước, cho trôi, phát (nhạc)","flow, shed tears, play music",トイレの水を流す。涙を流す。音楽を流す。
500,濡れる,ぬれる,NHU,(Tự) Bị ướt,get wet,雨に濡れて風邪をひいた。
501,濡らす,ぬらす,NHU,(Tha) Làm ướt,"wet, make wet",水をこぼして服を濡らしてしまった。
502,迷う,まよう,MÊ,"(Tự) Lạc đường, phân vân","get lost, hesitate",道に迷う。日本で就職するか迷っている。
503,悩む,なやむ,NÃO,"(Tự) Trăn trở, buồn phiền, khổ tâm","be troubled, suffer",就職するか進学するか悩んでいる。腰痛で悩む。
504,慌てる,あわてる,HOẢNG,"(Tự) Hoảng hốt, cuống cuồng","panic, hurry",遅れそうになって慌てて家を出た。
505,覚める,さめる,GIÁC,"(Tự) Tỉnh giấc, tỉnh rượu","wake up, sober up",夜中に目が覚めた。酔いが覚める。
506,覚ます,さます,GIÁC,"(Tha) Đánh thức, làm tỉnh táo","wake up, sober up",目を覚ますと10時だった。酔いを覚ます。
507,眠る,ねむる,MIÊN,(Tự) Ngủ,sleep,緊張してよく眠れなかった。
508,祈る,いのる,KỲ,"Cầu nguyện, cầu chúc","pray, wish",家族の健康を神に祈った。
509,祝う,いわう,CHÚC,"Chúc mừng, ăn mừng","celebrate, congratulate",新年を祝って乾杯した。
510,感じる,かんじる,CẢM,"Cảm thấy, cảm nhận","feel, sense",寒さを感じる。責任を感じている。
511,クラスメート,クラスメート,,Bạn cùng lớp,classmate,クラスメートと仲よくする。
512,グループ,グループ,,"Nhóm, đoàn",group,3人のグループで旅行をする。
513,チーム,チーム,,"Đội, nhóm thi đấu",team,私たちのチームが勝った。チームを組む。
514,プロフェッショナル/プロ,プロフェッショナル/プロ,,Chuyên nghiệp,"professional, pro",プロのサッカー選手になりたい。
515,アマチュア/アマ,アマチュア/アマ,,Nghiệp dư,amateur,アマチュアの作品とは思えない。
516,トレーニング,トレーニング,,"Tập luyện, rèn luyện",training,勝つためには毎日のトレーニングが必要だ。
517,マッサージ,マッサージ,,"Mát-xa, xoa bóp",massage,肩をマッサージしてもらう。
518,アドバイス,アドバイス,,"Lời khuyên, tư vấn",advice,後輩に仕事のやり方についてアドバイスをする。
519,アイデア/アイディア,アイデア/アイディア,,"Ý tưởng, sáng kiến",idea,いいアイデアが浮かんだ。
520,トップ,トップ,,"Đứng đầu, vị trí cao nhất","top, best",彼はクラスでトップの成績だ。
521,スピード,スピード,,Tốc độ,speed,もう少しスピードを上げてください。
522,ラッシュ,ラッシュ,,"Giờ cao điểm, dồn dập",rush hour,帰省ラッシュでチケットがとりにくい。
523,バイク,バイク,,"Xe máy, xe mô tô","motorcycle, motorbike",バイクに乗って会社へ行く。
524,ヘルメット,ヘルメット,,Mũ bảo hiểm,helmet,バイクに乗るときはヘルメットをかぶる。
525,コンタクトレンズ/コンタクト,コンタクトレンズ/コンタクト,,Kính áp tròng,contact lens,コンタクトを入れる/はずす。
526,ガラス,ガラス,,"Thủy tinh, kính",glass,窓ガラスをふいてきれいにする。
527,プラスチック,プラスチック,,"Nhựa dẻo, plastic",plastic,プラスチック製品を生ごみの中に入れないでください。
528,ベランダ,ベランダ,,"Ban công, hiên nhà","balcony, veranda",ベランダに洗たく物を干す。
529,ペット,ペット,,Thú cưng,pet,アパートなのでペットが飼えない。
530,ベンチ,ベンチ,,"Ghế dài, ghế công viên",bench,公園のベンチで休む。
531,デザイン,デザイン,,Thiết kế,design,このドレスはデザインもいい。
532,バーゲンセール/バーゲン,バーゲンセール/バーゲン,,"Bán hạ giá, giảm giá",bargain sale,デパートで今バーゲンセールをしている。
533,パート,パート,,"Việc làm bán thời gian, part-time",part-time job,母は週三日、スーパーでパートをしている。
534,コンビニエンスストア/コンビニ,コンビニエンスストア/コンビニ,,Cửa hàng tiện lợi,convenience store,コンビニに寄って雑誌を買った。
535,レジ,レジ,,"Quầy thu ngân, máy tính tiền",cash register,スーパーでレジのアルバイトをしている。
536,レシート,レシート,,"Hóa đơn, biên lai",receipt,レジでお金を払ってレシートを受け取る。
537,インスタント,インスタント,,"Ăn liền, tức thì",instant,インスタント食品は便利だ。
538,ファストフード,ファストフード,,Thức ăn nhanh,fast food,そばは江戸時代のファストフードだった。
539,フルーツ,フルーツ,,"Trái cây, hoa quả",fruit,温かいところにはいろいろなフルーツがある。
540,デザート,デザート,,Món tráng miệng,dessert,デザートにアイスクリームを食べる。
541,インターネット,インターネット,,Mạng Internet,Internet,インターネットで環境問題について調べた。
542,チャイム,チャイム,,"Chuông cửa, chuông báo","chime, bell",授業が始まるときチャイムが鳴る。
543,アナウンス,アナウンス,,Thông báo phát thanh,announcement,電車の中でアナウンスを聞く。
544,メッセージ,メッセージ,,"Tin nhắn, thông điệp",message,留守番電話にメッセージを残す。
545,パンフレット,パンフレット,,"Tờ rơi, tờ quảng cáo gấp","pamphlet, brochure",旅行会社でパンフレットをもらってきた。
546,カード,カード,,Thẻ (ngân hàng/điện thoại),card,クレジットカードで支払う。
547,インタビュー,インタビュー,,Phỏng vấn (báo chí/truyền thông),interview,勝ったチームの選手にインタビューする。
548,アンケート,アンケート,,"Phiếu khảo sát, thăm dò ý kiến","questionnaire, survey",アンケートにご協力ください。
549,データ,データ,,"Dữ liệu, số liệu",data,研究のためにデータを集めている。
550,パーセント,パーセント,,Phần trăm (%),percent,消費税が10パーセントになる。
551,濃い,こい,NỒNG,"Đậm, đặc, sẫm màu","dark, strong, thick",色が濃い。濃いコーヒーが好きだ。
552,薄い,うすい,BẠC,"Nhạt, mỏng, loãng","light, thin, weak",薄い本。味が薄い。
553,酸っぱい,すっぱい,TOAN,Chua,sour,レモンは酸っぱい。
554,臭い,くさい,XÚ,"Hôi thối, tanh tưởi","stinky, smelly",納豆はくさいから嫌いだ。
555,おかしい,おかしい,,"Buồn cười, lạ lùng, bất thường","funny, strange",パソコンの調子がおかしい。おかしいことを言って笑わせる。
556,かっこいい,かっこいい,,"Đẹp trai, ngầu, phong độ","cool, stylish",あの先輩はかっこいいので人気がある。
557,うまい,うまい,,"Ngon, giỏi, suôn sẻ","delicious, skillful, good",母は料理がうまい。ビールの味がうまい。
558,親しい,したしい,THÂN,"Thân thiết, gần gũi","intimate, close",私は田中さんと親しい。
559,詳しい,くわしい,TƯỜNG,"Chi tiết, tường tận, am hiểu","detailed, knowledgeable",この地図はとても詳しい。彼女は映画に詳しい。
560,細かい,こまかい,TẾ,"Nhỏ lẻ, chi tiết, tỉ mỉ","fine, small, detailed",新聞の字は細かくて読みにくい。細かいお金。
561,浅い,あさい,THIỂN,"Nông cạn, chưa sâu",shallow,この川は浅いので子どもが泳いでも危なくない。
562,固い/硬い,かたい,CỐ/NGẠNH,"Cứng, cứng rắn, chặt chẽ","hard, stiff, firm",このパンはとても固い。固い握手。体が硬い。
563,ぬるい,ぬるい,ÔN,"Nguội, âm ấm",lukewarm,ぬるいコーヒーはおいしくない。
564,まぶしい,まぶしい,,"Chói chang, rực rỡ","dazzling, bright",カーテンを開けたら太陽がまぶしかった。
565,蒸し暑い,むしあつい,CHƯNG THỬ,"Nóng ẩm, oi bức","humid and hot, sultry",日本の夏は蒸し暑い。
566,清潔な,せいけつな,THANH KHIẾT,"Sạch sẽ, thanh khiết","clean, hygienic",清潔な服を身につける。トイレを清潔にする。
567,新鮮な,しんせんな,TÂN TIÊN,"Tươi mới, trong lành",fresh,新鮮な魚はおいしい。新鮮な空気を吸う。
568,豊かな,ゆたかな,PHONG,"Phong phú, giàu có","rich, abundant",豊かな自然。才能が豊かな人。
569,立派な,りっぱな,LẬP PHÁI,"Đàng hoàng, tráng lệ, đáng nể","fine, splendid, respectable",立派な建物。立派な大人になる。
570,正確な,せいかくな,CHÍNH XÁC,Chính xác,"accurate, precise",正確な数はわからないが5000人ぐらいだ。
571,確かな,たしかな,XÁC,"Chắc chắn, xác thực, đích xác","certain, reliable",確かな事実だけを伝える。
572,重要な,じゅうような,TRỌNG YẾU,Quan trọng,"important, vital",きょうは重要な会議がある。
573,必要な,ひつような,TẤT YẾU,Cần thiết,necessary,子どもに必要なのは親の温かい愛情だ。
574,もったいない,もったいない,,"Lãng phí, uổng phí","wasteful, regrettable",まだ着られる服を捨てるのはもったいない。
575,すごい,すごい,,"Kinh khủng, tuyệt vời","terrific, incredible, great",きのうの台風はすごかった。すごい拍手。
576,ひどい,ひどい,,"Tồi tệ, thậm tệ, khủng khiếp","terrible, cruel, severe",大勢で一人をいじめるとはひどい。ひどい雨。
577,激しい,はげしい,KÍCH,"Mãnh liệt, dữ dội","violent, intense",雨や風が激しい。変化が激しい。
578,そっくりな,そっくりな,,"Giống hệt, y đúc","look-alike, identical",兄は父親に顔も声もそっくりだ。
579,急な,きゅうな,CẤP,"Đột ngột, gấp gáp, dốc đứng","sudden, urgent, steep",急に歯が痛みだした。急な坂道。
580,適当な,てきとうな,THÍCH ĐƯƠNG,"Phù hợp, thích hợp, qua loa","suitable, proper, careless",肉を適当な大きさに切る。適当に返事をする。
581,特別な,とくべつな,ĐẶC BIỆT,Đặc biệt,"special, particular",彼女には音楽家としての特別な才能がある。
582,完全な,かんぜんな,HOÀN TOÀN,"Hoàn toàn, trọn vẹn","complete, perfect",完全な勝利だった。準備は完全だった。
583,盛んな,さかんな,THỊNH,"Thịnh vượng, sôi nổi, phổ biến","flourishing, active",私のふるさとは農業が盛んだ。盛んな拍手。
584,さまざまな,さまざまな,DẠNG,"Nhiều loại, đa dạng","various, diverse",インターネットからさまざまな情報が得られる。
585,可能な,かのうな,KHẢ NĂNG,"Khả thi, có thể",possible,今まで不可能だったことも可能になった。
586,不可能な,ふかのうな,BẤT KHẢ NĂNG,"Không thể, bất khả thi",impossible,1か月でこの実験を終わらせるのは不可能だ。
587,基本的な,きほんてきな,CƠ BẢN ĐÍCH,Cơ bản,"basic, fundamental",パソコンの基本的な使い方はマニュアルにある。
588,国際的な,こくさいてきな,QUỐC TẾ ĐÍCH,Mang tính quốc tế,international,国際的なアニメフェスティバルが開かれた。
589,ばらばらな,ばらばらな,,"Rời rạc, rải rác, chia rẽ","scattered, divided",みんなの意見がばらばらで結論が出ない。
590,ぼろぼろな,ぼろぼろな,,"Rách nát, tơi tả, kiệt quệ","worn-out, ragged",ぼろぼろの服。身も心もぼろぼろになった。
591,非常に,ひじょうに,PHI THƯỜNG,"Rất, vô cùng (văn viết)","very, extremely",これは非常に高価なものです。
592,大変に,たいへんに,ĐẠI BIẾN,"Rất, vô cùng","terribly, greatly",夕方は電車が大変混むので疲れる。
593,ほとんど,ほとんど,,"Hầu như, phần lớn","mostly, hardly",準備はほとんどできた。ほとんどわからない。
594,大体,だいたい,ĐẠI THỂ,"Đại khái, khoảng chừng","mostly, about",きょうの試験は大体できた。
595,かなり,かなり,,"Khá là, tương đối","fairly, quite",薬を飲んだらかなりよくなった。
596,ずいぶん,ずいぶん,TÙY PHÂN,"Khá nhiều, đáng kể (vượt mong đợi)","considerably, remarkably",日本語がずいぶん上手になっていた。
597,けっこう,けっこう,KẾT CẤU,"Khá là, tương đối","pretty, quite",日曜日なのにけっこうすいていた。
598,大分,だいぶ/だいぶん,ĐẠI PHÂN,"Khá nhiều, phần lớn","mostly, fairly",病気はだいぶよくなった。
599,もっと,もっと,,"Hơn nữa, thêm nữa",more,もっと大きな声で話してください。
600,すっかり,すっかり,,"Hoàn toàn, sạch bách","completely, entirely",さくらの花はもうすっかり散ってしまった。
601,いっぱい,いっぱい,NHẤT BÔI,"Đầy, tràn ngập, no nê","full, fully",会場には子どもたちがいっぱいいた。おなかがいっぱいだ。
602,ぎりぎり,ぎりぎり,,"Sát nút, vừa vặn khít khao","barely, just in time",走れば9時の電車にぎりぎり間に合う。
603,ぴったり,ぴったり,,"Vừa khít, chuẩn xác, chấm dứt hẳn","exactly, perfectly",7時ぴったりに目覚ましをセットした。スーツにぴったりだ。
604,たいてい,たいてい,ĐẠI ĐỂ,"Thông thường, đại để","usually, mostly",日曜日はたいていうちにいます。
605,同時に,どうじに,ĐỒNG THỜI,"Đồng thời, cùng lúc","simultaneously, at same time",ベルが鳴ると同時にドアが開いた。
606,前もって,まえもって,TIỀN,"Trước, làm sẵn từ trước","in advance, beforehand",欠席する場合は前もってご連絡します。
607,すぐに,すぐに,TRỰC,Ngay lập tức,"immediately, right away",チャイムを鳴らすとすぐにドアが開いた。
608,もうすぐ,もうすぐ,,"Sắp sửa, chuẩn bị",soon,もうすぐ夏休みだ。
609,突然,とつぜん,ĐỘT NHIÊN,"Đột nhiên, bất thình lình",suddenly,子どもが突然飛び出して来た。
610,あっという間に,あっというまに,GIAN,"Trong chớp mắt, thoắt cái",in a flash,子どもの成長は早い。あっという間に小学生だ。
611,いつの間にか,いつのまにか,GIAN,"Lúc nào không hay, không biết từ bao giờ",before one knows,いつの間にか外は暗くなっていた。
612,しばらく,しばらく,TẠM,"Một lúc, một lát, một dạo",for a while,ただ今窓口が混んでいますので、しばらくお待ちください。
613,ずっと,ずっと,,"Suốt, hơn hẳn, mãi","all the time, far more",バスより地下鉄で行くほうがずっと速い。
614,相変わらず,あいかわらず,TƯƠNG BIẾN,"Như thường lệ, vẫn như xưa","as usual, unchanged",あの女優は年を取った今も相変わらずきれいだ。
615,次々に/と,つぎつぎに/と,THỨ,"Lần lượt, liên tiếp",one after another,新しい商品が次々に発売されている。
616,どんどん,どんどん,,"Nhanh chóng, dồn dập","steadily, rapidly",体調もよく仕事がどんどん進んだ。
617,ますます,ますます,ÍCH,"Ngày càng, càng ngày càng",more and more,午後になると雨がますます強くなった。
618,やっと,やっと,,Cuối cùng thì (sau nỗ lực/chờ đợi),"finally, at last",30分も待って、やっとバスが来た。
619,とうとう,とうとう,,Cuối cùng thì (kết quả xấu/kết cục),"finally, after all",長い間使っていた洗濯機がとうとう壊れてしまった。
620,ついに,ついに,CHUNG,Cuối cùng thì (trọng đại),"at long last, in the end",若いころの夢をついに実現することができた。
621,もちろん,もちろん,VẬT LUẬN,"Tất nhiên, đương nhiên","of course, naturally",マンションを買った。もちろんローンでだ。
622,やはり/やっぱり,やはり/やっぱり,DẠ PHIẾN,"Quả nhiên, rốt cuộc vẫn","as expected, still",やはりAチームが勝った。予想通りだった。
623,きっと,きっと,,"Chắc chắn, nhất định","certainly, surely",田中さんはいつも遅刻するから今日もきっと遅れてくる。
624,ぜひ,ぜひ,THỊ PHI,Nhất định (thể hiện nguyện vọng/lời mời),"by all means, certainly",日本へいらっしゃったらぜひ私の家に泊まってください。
625,なるべく,なるべく,THÀNH,"Cố gắng hết sức, nếu có thể",as much as possible,なるべく辞書を見ないで読んでみてください。
626,案外,あんがい,ÁN NGOẠI,"Không ngờ, ngoài dự tính","surprisingly, unexpectedly",きょうは曇っているが、案外暖かい。
627,もしかすると/もしかしたら,もしかすると/もしかしたら,,"Có lẽ, biết đâu chừng","maybe, possibly",体調が悪いので、もしかしたらあした休むかもしれません。
628,まさか,まさか,CHÂN,"Không đời nào, chẳng lẽ","no way, impossible",あの二人が離婚するなんてまさか。
629,うっかり,うっかり,,"Lơ đễnh, vô ý","absent-mindedly, inadvertently",うっかりして砂糖と塩を間違えた。
630,つい,つい,,"Lỡ, vô tình, buột miệng","involuntarily, unintentionally",禁煙しようと思うが食後につい吸ってしまう。
631,思わず,おもわず,TƯ,"Bất giác, không kìm được","instinctively, reflexively",夜道で急に肩をたたかれ、思わず「ワーッ」と叫んだ。
632,ほっと,ほっと,,Thở phào nhẹ nhõm,relieved,試験が終わってほっとした。
633,いらいら,いらいら,,"Sốt ruột, bực bội","irritated, annoyed",急いでいるのにバスが来なくていらいらした。
634,のんびり,のんびり,,"Thong thả, thảnh thơi","leisurely, relaxed",温泉へでも行ってのんびりしたい。
635,実は,じつは,THỰC,"Thực ra là, sự thật là","to tell the truth, actually",きのう言ったことは、実はうそなんです。
636,読書,どくしょ,ĐỘC THƯ,Đọc sách,reading,趣味は読書だ。休日に読書をする。
637,演奏,えんそう,DIỄN TẤU,"Biểu diễn, trình diễn nhạc cụ",musical performance,楽器を演奏する。
638,芸術,げいじゅつ,NGHỆ THUẬT,Nghệ thuật,art,美術、音楽、文学などは芸術の一種だ。
639,検査,けんさ,KIỂM TRA,"Kiểm tra, xét nghiệm","inspection, medical exam",病院で脳の検査を受けた。
640,血液,けつえき,HUYẾT DỊCH,"Máu, huyết dịch",blood,体の中を血液が流れている。
641,治療,ちりょう,TRỊ LIỆU,"Điều trị, chữa trị",medical treatment,虫歯の治療を受けた。
642,症状,しょうじょう,CHỨNG TRẠNG,Triệu chứng,symptom,かぜの症状は熱、せき、鼻水などだ。
643,予防,よぼう,DỰ PHÒNG,"Dự phòng, phòng ngừa",prevention,かぜの予防。災害を予防する。
644,栄養,えいよう,VINH DƯỠNG,Dinh dưỡng,nutrition,栄養のある食べ物。
645,手術,しゅじゅつ,THỦ THUẬT,"Phẫu thuật, mổ","surgery, operation",胃の手術を受けた。
646,死亡,しぼう,TỬ VONG,"Tử vong, chết","death, mortality",事故で3名死亡した。
647,命,いのち,MỆNH,"Sinh mạng, tính mạng",life,命は大切にしなければならない。
648,一生,いっしょう,NHẤT SANH,"Cả đời, suốt đời","whole life, lifetime",幸せな一生を送る。あなたのことは一生忘れません。
649,誤解,ごかい,NGỘ GIẢI,Hiểu lầm,misunderstanding,問題の意味を誤解して答えを間違えた。
650,後悔,こうかい,HẬU HỐI,Hối hận,"regret, remorse",若いころに勉強しなかったことを後悔している。
651,わけ,わけ,DỊCH,"Lý do, nguyên cớ, ý nghĩa","reason, meaning",遅刻したわけを話す。彼の言うことはわけがわからない。
652,態度,たいど,THÁI ĐỘ,Thái độ,"attitude, manner",授業中の態度が悪い。あいまいな態度をとる。
653,癖,くせ,PHÍCH,"Thói quen, tật xấu","habit, quirk",困ったとき頭をかく癖がある。
654,礼儀,れいぎ,LỄ NGHI,"Lễ nghi, phép lịch sự","etiquette, manners",目上の人への礼儀を知らない。
655,文句,もんく,VĂN CÚ,"Phàn nàn, câu từ","complaint, phrase",給料に文句がある。小説の文句を引用する。
656,表情,ひょうじょう,BIỂU TÌNH,"Nét mặt, biểu cảm",facial expression,あの人は表情が豊かだ。
657,表面,ひょうめん,BIỂU DIỆN,"Bề mặt, mặt ngoài",surface,水の表面。ビルの表面にタイルが張ってある。
658,禁煙,きんえん,CẤM YÊN,"Cấm hút thuốc, cai thuốc","no smoking, quitting smoking",この部屋は禁煙です。
659,禁止,きんし,CẤM CHỈ,"Cấm đoán, nghiêm cấm","prohibition, ban",美術館の中では写真を撮ることは禁止されている。
660,完成,かんせい,HOÀN THÀNH,Hoàn thành,completion,半年かけて論文を完成させた。
661,課題,かだい,KHÓA ĐỀ,"Chủ đề, vấn đề cần giải quyết, bài tập","issue, task, assignment",現代の日本には多くの課題がある。
662,例外,れいがい,LỆ NGOẠI,Ngoại lệ,exception,どんな規則にも例外がある。
663,基本,きほん,CƠ BẢN,"Cơ bản, nền tảng","fundamental, basis",何の練習でも基本が大切だ。
664,記録,きろく,KÝ LỤC,"Kỷ lục, ghi chép, biên bản",record,先週の会議の記録。世界新記録で優勝した。
665,状態,じょうたい,TRẠNG THÁI,"Trạng thái, tình trạng","condition, state",いま経営の状態がよくない。
666,出来事,できごと,XUẤT LAI SỰ,"Sự việc, biến cố xảy ra","happening, event",毎日の出来事をブログに書く。
667,場面,ばめん,TRƯỜNG DIỆN,"Cảnh tượng, phân cảnh","scene, setting",トラックとバスが衝突した場面。
668,機会,きかい,CƠ HỘI,"Cơ hội, dịp","opportunity, chance",彼女と二人で話す機会がない。
669,距離,きょり,CỰ LY,"Cự ly, khoảng cách",distance,駅から学校まではかなり距離がある。
670,提案,ていあん,ĐỀ ÁN,"Đề án, đề xuất","proposal, suggestion",会議で新しい計画を提案する。
671,やり取り,やりとり,,Trao đổi qua lại,"exchange, interaction",友だちとメールをやり取りする。
672,知識,ちしき,TRI THỨC,"Kiến thức, tri thức",knowledge,本を読んで知識を身につける。
673,実力,じつりょく,THỰC LỰC,Thực lực,"true ability, competence",試合で実力を出す。
674,手段,しゅだん,THỦ ĐOẠN,"Phương thức, thủ đoạn, biện pháp","means, measure",問題を解決するために必要な手段をとる。
675,代表,だいひょう,ĐẠI BIỂU,"Đại biểu, đại diện, tiêu biểu",representative,クラスの代表として会議に参加する。富士山は日本を代表する山だ。
676,影響,えいきょう,ẢNH HƯỞNG,Ảnh hưởng,"influence, effect",両親の影響で絵をかき始めた。
677,効果,こうか,HIỆU QUẢ,"Hiệu quả, tác dụng","effect, result",この薬を飲んだらすぐに効果が出た。
678,印象,いんしょう,ẤN TƯỢNG,Ấn tượng,impression,優しそうな人だという印象を受けた。
679,印,しるし,ẤN,"Dấu hiệu, ký hiệu, biểu tượng","mark, sign, symbol",地図の目的地にしるしをつける。ハトは平和のしるしだ。
680,合図,あいず,HỢP ĐỒ,"Ám hiệu, ra hiệu","signal, sign",友だちに目で合図する。
681,共通,きょうつう,CỘNG THÔNG,"Điểm chung, thông dụng","common, shared",二人の共通の趣味は音楽だ。
682,強調,きょうちょう,CƯỜNG ĐIỆU,Nhấn mạnh,emphasis,大事な点を強調して説明する。
683,省略,しょうりゃく,TỈNH LƯỢC,"Giản lược, lược bỏ","abbreviation, omission",くわしい説明を省略して簡単に話す。
684,挑戦,ちょうせん,KHIÊU CHIẾN,"Thử thách, thách thức",challenge,難しい課題に挑戦する。世界記録への挑戦。
685,やる気,やるき,KHÍ,"Động lực, sự muốn làm","motivation, willingness",ほめられてやる気になる。
686,勇気,ゆうき,DŨNG KHÍ,"Dũng khí, can đảm",courage,勇気を出してプロポーズする。
687,資格,しかく,TƯ CÁCH,"Tư cách, bằng cấp, chứng chỉ",qualification,弁護士の資格を取る。
688,申請,しんせい,THÂN THỈNH,"Đăng ký, xin (visa/hộ chiếu)",application,大使館でビザを申請する。
689,本人,ほんにん,BẢN NHÂN,"Bản thân người đó, chính chủ",the person in question,通帳は貯金をする本人が作らなければならない。
690,契約,けいやく,KHẾ ƯỚC,"Hợp đồng, giao kèo","contract, agreement",アパートを2年間借りる契約をした。
691,証明,しょうめい,CHỨNG MINH,Chứng minh,"evidence, proof",身分を証明する書類。
692,変更,へんこう,BIẾN CANH,"Thay đổi, sửa đổi","change, alteration",予定の変更を行う。
693,保存,ほぞん,BẢO TỒN,"Lưu trữ, bảo quản","preservation, saving",パソコンにデータを保存する。
694,保護,ほご,BẢO HỘ,"Bảo hộ, bảo vệ","protection, conservation",自然を保護する。迷い子の保護。
695,環境,かんきょう,HOÀN CẢNH,Môi trường,environment,環境のいい郊外に住みたい。
696,資源,しげん,TƯ NGUYÊN,Tài nguyên,resources,資源を有効に利用する。
697,不足,ふそく,BẤT TÚC,"Thiếu thốn, không đủ","shortage, lack",野菜が不足した食事。運動不足。
698,平均,へいきん,BÌNH QUÂN,Trung bình,average,テストの点を平均する。平均寿命。
699,割合,わりあい,CÁT HỢP,"Tỷ lệ, tương đối","ratio, relatively",デパートの客は女性の割合が高い。試験は割合簡単だった。
700,商売,しょうばい,THƯƠNG MẠI,"Buôn bán, kinh doanh","business, trade",父は衣料品の商売をしている。
701,商品,しょうひん,THƯƠNG PHẨM,"Hàng hóa, sản phẩm","product, goods",店に商品を並べる。
702,質,しつ,CHẤT,"Chất lượng, phẩm chất",quality,このメーカーの製品は質がいい。
703,型,かた,HÌNH,"Khuôn, mẫu, loại, nhóm","model, type, pattern",新しい型のパソコンを買った。血液型。
704,生産,せいさん,SANH SẢN,Sản xuất,production,工場でカメラを生産する。
705,消費,しょうひ,TIÊU PHÍ,"Tiêu dùng, tiêu thụ",consumption,運動してカロリーを消費する。
706,物価,ぶっか,VẬT GIÁ,"Vật giá, giá cả","prices, cost of living",東京は物価が高い。
707,倒産,とうさん,ĐẢO SẢN,Phá sản,bankruptcy,会社が倒産する。
708,携帯,けいたい,HUỀ ĐỚI,"Mang theo, điện thoại di động","carrying, mobile phone",身分証を携帯していなければならない。
709,現代,げんだい,HIỆN ĐẠI,"Hiện đại, ngày nay","the present age, modern",現代は情報の時代だと言われている。
710,世紀,せいき,THẾ KỶ,Thế kỷ,century,21世紀が始まった。
711,文化,ぶんか,VĂN HÓA,Văn hóa,culture,日本の文化が発達する。
712,都市,とし,ĐÔ THỊ,"Đô thị, thành phố","city, urban area",都市に人口が集中する。
713,地方,ちほう,ĐỊA PHƯƠNG,"Địa phương, vùng quê","region, province",雨が多い地方。地方から都会へ出て働く。
714,戦争,せんそう,CHIẾN TRANH,Chiến tranh,war,A国とB国の間で戦争が起きた。
715,平和,へいわ,BÌNH HÒA,"Hòa bình, thanh bình","peace, peaceful",世界の平和を守る。平和な家庭。
716,上る,のぼる,THƯỢNG,"Leo lên, đi lên, lên tới","go up, climb, reach",階段を上る。死者は5000人に上った。
717,下る,くだる,HẠ,"Đi xuống, xuôi theo",go down,坂を下る。川を下る。
718,進む,すすむ,TIẾN,"(Tự) Tiến lên, tiến bộ, nhanh (đồng hồ)","advance, proceed",前にお進みください。工事が進んでいる。時計が5分進んでいる。
719,進める,すすめる,TIẾN,"(Tha) Thúc đẩy, tiến hành, vặn nhanh","advance, promote",会議の準備を進める。時計を10分進める。
720,通る,とおる,THÔNG,"(Tự) Đi qua, thông qua, đỗ (kỳ thi)","pass through, be accepted",この道は車が通る。試験に通った。意見が通った。
721,通す,とおす,THÔNG,"(Tha) Cho qua, xỏ qua, thông qua","let pass, thread",針に糸を通す。提案を会議で通す。
722,越える/超える,こえる,VIỆT/SIÊU,"Vượt qua (núi/biên giới), vượt quá (số lượng)","cross, exceed, surpass",国境を越えた。平均点を超えた。
723,過ぎる,すぎる,QUÁ,"(Tự) Đi qua, trôi qua, quá mức","pass by, elapse, exceed",列車が駅を過ぎた。約束の時間を過ぎる。
724,過ごす,すごす,QUÁ,"(Tha) Trải qua, sống qua",spend time,大学時代を東京で過ごした。
725,移る,うつる,DI,"(Tự) Di chuyển, lây lan","move, spread",前の席に移った。かぜがうつった。
726,移す,うつす,DI,"(Tha) Chuyển đi, lây cho","move something, transmit",本社を東京に移した。かぜをうつされた。
727,連れる,つれる,LIÊN,"Dắt theo, dẫn theo",bring someone,子どもを動物園へ連れて行った。
728,寄る,よる,KÝ,"(Tự) Ghé vào, lệch về một bên","stop by, lean towards",窓のそばに寄る。帰りに本屋へ寄った。
729,寄せる,よせる,KÝ,"(Tha) Ghé sát vào, tấp vào","bring near, pull over",車を道の左側に寄せて止めた。
730,与える,あたえる,DỮ,"Ban tặng, gây ra, cung cấp","give, provide, cause",奨学金を与える。影響を与える。
731,得る,える/うる,ĐẮC,"Được, thu được, đạt được","obtain, acquire, gain",知識を得る。許可を得る。
732,向く,むく,HƯỚNG,"(Tự) Quay về hướng, phù hợp với","face, be suitable for",こちらを向いてください。彼女は先生に向いている。
